E =  146.950 MeV, Wt = 1.0, Sc = 1.0
 63.260    4.756500    0.059000
 56.630    4.286100    0.059000
 49.460    4.026800    0.066500
 41.410    3.670600    0.075500
 31.790    3.306600    0.127900
-------------------------------------
E =  501.390 MeV, Wt = 1.0, Sc = 1.0
161.810    0.527000    0.037100
148.210    1.326700    0.037000
138.590    2.073400    0.046400
130.540    2.737400    0.052800
123.370    3.507900    0.052500
116.740    4.024700    0.055700
110.490    4.441700    0.059500
104.480    4.816400    0.063100
 98.630    5.106700    0.066500
 92.870    5.226800    0.065700
 87.130    5.341100    0.065700
 81.370    5.227600    0.067000
 75.520    5.077600    0.066800
 69.510    4.931500    0.064700
 63.260    4.535600    0.064700
 56.630    4.302300    0.063700
 49.460    4.037100    0.072600
 41.410    3.674500    0.083900
 31.790    3.357100    0.133100
-------------------------------------
E =  503.640 MeV, Wt = 1.0, Sc = 1.0
161.810    0.517200    0.033400
148.210    1.290600    0.036500
138.590    2.059000    0.048100
130.540    2.741800    0.052900
123.370    3.418100    0.053400
116.740    3.929800    0.056800
110.490    4.318300    0.059800
104.480    4.679400    0.062900
 98.630    4.885700    0.065000
 92.870    5.163200    0.065500
 87.130    5.184200    0.064700
 81.370    5.047900    0.067500
 75.520    4.949300    0.065600
 69.510    4.660500    0.065800
 63.260    4.447500    0.064400
 56.630    3.989000    0.063600
 49.460    3.791600    0.073100
 41.410    3.518600    0.082600
 31.790    3.386700    0.137200
-------------------------------------
E =  505.900 MeV, Wt = 1.0, Sc = 1.0
161.810    0.514900    0.034100
148.210    1.255900    0.036900
138.590    2.095800    0.048000
130.540    2.736800    0.054100
123.370    3.323800    0.054500
116.740    3.740700    0.056800
110.490    4.290300    0.060500
104.480    4.708300    0.065300
 98.630    4.823500    0.065800
 92.870    4.962000    0.066400
 87.130    5.063100    0.066900
 81.370    4.985900    0.068900
 75.520    4.941300    0.067300
 69.510    4.532600    0.066500
 63.260    4.286400    0.067200
 56.630    4.112600    0.066300
 49.460    3.824400    0.071900
 41.410    3.464500    0.085600
 31.790    3.191400    0.145300
-------------------------------------
E =  508.150 MeV, Wt = 1.0, Sc = 1.0
161.810    0.435200    0.036700
148.210    1.200400    0.038400
138.590    1.966300    0.046800
130.540    2.582800    0.055800
123.370    3.248400    0.052200
116.740    3.807900    0.058300
110.490    4.186900    0.060900
104.480    4.500200    0.064100
 98.630    4.842900    0.066800
 92.870    4.888700    0.065400
 87.130    4.963700    0.065800
 81.370    5.020800    0.068000
 75.520    4.800100    0.068100
 69.510    4.433700    0.066100
 63.260    4.206500    0.066700
 56.630    3.924600    0.064600
 49.460    3.621100    0.073100
 41.410    3.296700    0.084400
 31.790    3.106700    0.141000
-------------------------------------
E =  510.380 MeV, Wt = 1.0, Sc = 1.0
161.810    0.335200    0.037600
148.210    1.224300    0.036800
138.590    1.920100    0.047700
130.540    2.513200    0.053800
123.370    3.250800    0.052100
116.740    3.708900    0.056400
110.490    4.048100    0.058900
104.480    4.263300    0.062100
 98.630    4.732900    0.064700
 92.870    4.844700    0.065200
 87.130    4.757100    0.066300
 81.370    4.748600    0.065200
 75.520    4.653500    0.065800
 69.510    4.403000    0.063600
 63.260    4.209300    0.064500
 56.630    3.781700    0.062600
 49.460    3.573400    0.070500
 41.410    3.384900    0.084000
 31.790    2.955500    0.152200
-------------------------------------
E =  512.590 MeV, Wt = 1.0, Sc = 1.0
161.810    0.486900    0.034200
148.210    1.205600    0.036300
138.590    1.911700    0.047500
130.540    2.539300    0.054500
123.370    3.216300    0.053300
116.740    3.595000    0.056700
110.490    4.034400    0.059500
104.480    4.209200    0.062200
 98.630    4.644100    0.065000
 92.870    4.760100    0.067100
 87.130    4.887300    0.066600
 81.370    4.688000    0.067200
 75.520    4.619800    0.066700
 69.510    4.436500    0.064700
 63.260    4.186100    0.065300
 56.630    3.722800    0.064500
 49.460    3.574500    0.070000
 41.410    3.424800    0.086400
 31.790    2.878000    0.149600
-------------------------------------
E =  514.860 MeV, Wt = 1.0, Sc = 1.0
161.810    0.406800    0.033800
148.210    1.168400    0.035300
138.590    1.896200    0.046600
130.540    2.496400    0.053200
123.370    3.031400    0.051500
116.740    3.437200    0.055800
110.490    3.932800    0.058400
104.480    4.247700    0.062800
 98.630    4.436400    0.065100
 92.870    4.617100    0.064400
 87.130    4.678900    0.063200
 81.370    4.590400    0.066400
 75.520    4.495300    0.065200
 69.510    4.287200    0.063600
 63.260    3.894600    0.063700
 56.630    3.614100    0.061800
 49.460    3.376300    0.071400
 41.410    2.997000    0.081500
 31.790    2.844200    0.142200
-------------------------------------
E =  517.100 MeV, Wt = 1.0, Sc = 1.0
161.810    0.528500    0.035300
148.210    1.183500    0.035400
138.590    1.765600    0.046300
130.540    2.355500    0.052400
123.370    3.005400    0.051700
116.740    3.544600    0.057000
110.490    4.034100    0.061300
104.480    4.248000    0.063500
 98.630    4.477100    0.065000
 92.870    4.513400    0.065600
 87.130    4.626400    0.064800
 81.370    4.604700    0.066600
 75.520    4.524700    0.066600
 69.510    4.278800    0.066600
 63.260    3.957500    0.063500
 56.630    3.511200    0.063300
 49.460    3.408300    0.071000
 41.410    3.146100    0.079500
 31.790    2.800200    0.135700
-------------------------------------
E =  519.340 MeV, Wt = 1.0, Sc = 1.0
161.810    0.388100    0.036900
148.210    1.119700    0.036000
138.590    1.828100    0.047200
130.540    2.487000    0.055200
123.370    3.058600    0.052600
116.740    3.535600    0.058000
110.490    3.763100    0.061600
104.480    4.102500    0.064800
 98.630    4.398700    0.067200
 92.870    4.694100    0.066000
 87.130    4.421200    0.066700
 81.370    4.504200    0.066800
 75.520    4.446200    0.066700
 69.510    4.096400    0.065100
 63.260    3.888000    0.065700
 56.630    3.614100    0.063600
 49.460    3.257100    0.074100
 41.410    3.241500    0.085300
 31.790    2.656600    0.159900
-------------------------------------
E =  521.540 MeV, Wt = 1.0, Sc = 1.0
161.810    0.409200    0.032300
148.210    1.101800    0.036100
138.590    1.725000    0.044900
130.540    2.434100    0.052500
123.370    3.018800    0.051700
116.740    3.394300    0.056800
110.490    3.856900    0.059400
104.480    4.038800    0.062400
 98.630    4.343600    0.063500
 92.870    4.483100    0.063800
 87.130    4.406300    0.063400
 81.370    4.407100    0.064900
 75.520    4.311800    0.065300
 69.510    4.050100    0.063800
 63.260    3.723600    0.061700
 56.630    3.420600    0.062000
 49.460    3.218500    0.066100
 41.410    3.079800    0.081800
 31.790    2.704300    0.160400
-------------------------------------
E =  523.760 MeV, Wt = 1.0, Sc = 1.0
161.810    0.352700    0.035500
148.210    1.132000    0.034900
138.590    1.727000    0.044200
130.540    2.331600    0.051700
123.370    2.970800    0.051600
116.740    3.441400    0.055800
110.490    3.776600    0.058300
104.480    3.932900    0.061200
 98.630    4.263400    0.064500
 92.870    4.332200    0.063900
 87.130    4.378400    0.062800
 81.370    4.311100    0.065900
 75.520    4.173300    0.064300
 69.510    4.023900    0.060900
 63.260    3.751100    0.063100
 56.630    3.453000    0.063600
 49.460    3.046600    0.066500
 41.410    2.872300    0.076400
 31.790    2.697300    0.143900
-------------------------------------
E =  525.990 MeV, Wt = 1.0, Sc = 1.0
161.810    0.397800    0.031400
148.210    0.995100    0.035600
138.590    1.737800    0.044200
130.540    2.206700    0.051300
123.370    2.864900    0.049700
116.740    3.315000    0.054400
110.490    3.585500    0.056100
104.480    3.949700    0.060000
 98.630    4.249900    0.062300
 92.870    4.243700    0.062600
 87.130    4.243500    0.062900
 81.370    4.130700    0.063600
 75.520    3.966200    0.063900
 69.510    3.958300    0.061600
 63.260    3.629200    0.061000
 56.630    3.430600    0.060600
 49.460    2.973900    0.066600
 41.410    3.012500    0.076700
 31.790    2.529100    0.143100
-------------------------------------
E =  528.180 MeV, Wt = 1.0, Sc = 1.0
161.810    0.329800    0.036800
148.210    1.069200    0.035400
138.590    1.712500    0.043000
130.540    2.300000    0.052900
123.370    2.936000    0.051200
116.740    3.366300    0.055200
110.490    3.684900    0.056700
104.480    3.924100    0.059800
 98.630    4.161400    0.062800
 92.870    4.274900    0.062000
 87.130    4.218200    0.062100
 81.370    4.240000    0.062800
 75.520    4.044300    0.062000
 69.510    3.856900    0.062000
 63.260    3.576700    0.060000
 56.630    3.337700    0.059600
 49.460    3.105500    0.065200
 41.410    2.862900    0.077600
 31.790    2.749300    0.143700
-------------------------------------
E =  530.390 MeV, Wt = 1.0, Sc = 1.0
161.810    0.428800    0.030600
148.210    1.075600    0.034900
138.590    1.652100    0.046300
130.540    2.192700    0.051000
123.370    2.710300    0.050100
116.740    3.305300    0.056500
110.490    3.576400    0.058500
104.480    3.945200    0.059300
 98.630    4.224600    0.064700
 92.870    4.256900    0.062200
 87.130    4.254800    0.063400
 81.370    4.179000    0.062900
 75.520    3.895400    0.061700
 69.510    3.673700    0.062100
 63.260    3.478900    0.059900
 56.630    3.229600    0.060200
 49.460    2.986300    0.065100
 41.410    2.691100    0.080100
 31.790    2.441800    0.140500
-------------------------------------
E =  532.610 MeV, Wt = 1.0, Sc = 1.0
161.810    0.361500    0.032100
148.210    0.991300    0.032600
138.590    1.653300    0.044700
130.540    2.186700    0.051900
123.370    2.829200    0.049500
116.740    3.173000    0.053800
110.490    3.621600    0.058200
104.480    3.790900    0.059100
 98.630    4.105100    0.062100
 92.870    4.269400    0.062200
 87.130    4.262500    0.061800
 81.370    4.100400    0.061800
 75.520    3.924800    0.062600
 69.510    3.758000    0.061700
 63.260    3.417700    0.060300
 56.630    3.185400    0.060100
 49.460    3.001600    0.065000
 41.410    2.709400    0.080500
 31.790    2.616900    0.138900
-------------------------------------
E =  534.790 MeV, Wt = 1.0, Sc = 1.0
161.810    0.324400    0.033600
148.210    0.982300    0.034500
138.590    1.612500    0.044600
130.540    2.216800    0.053400
123.370    2.720700    0.050900
116.740    3.174300    0.057700
110.490    3.471800    0.059000
104.480    3.731000    0.061700
 98.630    3.984700    0.063700
 92.870    4.200700    0.065700
 87.130    4.081800    0.062900
 81.370    4.010800    0.064800
 75.520    3.867600    0.062900
 69.510    3.690900    0.061100
 63.260    3.333700    0.061400
 56.630    3.105600    0.059200
 49.460    2.887800    0.065000
 41.410    2.647100    0.080200
 31.790    2.500400    0.135100
-------------------------------------
E =  536.950 MeV, Wt = 1.0, Sc = 1.0
161.810    0.374100    0.035300
148.210    0.966300    0.033300
138.590    1.611700    0.042500
130.540    2.239000    0.051500
123.370    2.666100    0.052000
116.740    3.104700    0.055500
110.490    3.357300    0.056600
104.480    3.774600    0.059900
 98.630    3.926100    0.062000
 92.870    3.995600    0.061400
 87.130    4.008700    0.061700
 81.370    4.025800    0.062900
 75.520    3.770800    0.062600
 69.510    3.552700    0.062200
 63.260    3.229800    0.059000
 56.630    3.117800    0.059000
 49.460    2.769000    0.066800
 41.410    2.490100    0.076500
 31.790    2.358100    0.131900
-------------------------------------
E =  539.190 MeV, Wt = 1.0, Sc = 1.0
161.810    0.395400    0.033000
148.210    0.980100    0.034700
138.590    1.571100    0.042700
130.540    2.043600    0.050300
123.370    2.666000    0.047800
116.740    3.101000    0.053800
110.490    3.304700    0.056200
104.480    3.708300    0.059700
 98.630    3.752700    0.061400
 92.870    3.899600    0.061400
 87.130    3.918900    0.059400
 81.370    3.844900    0.062100
 75.520    3.684700    0.058900
 69.510    3.541500    0.059200
 63.260    3.267400    0.056100
 56.630    3.023700    0.058100
 49.460    2.736000    0.062100
 41.410    2.409300    0.072800
 31.790    2.202300    0.143100
-------------------------------------
E =  541.350 MeV, Wt = 1.0, Sc = 1.0
161.810    0.315600    0.033900
148.210    0.958200    0.032500
138.590    1.552300    0.041100
130.540    2.087600    0.049300
123.370    2.540600    0.047900
116.740    3.147200    0.051900
110.490    3.424500    0.054600
104.480    3.522800    0.057000
 98.630    3.814600    0.060500
 92.870    3.871300    0.057700
 87.130    3.963300    0.059800
 81.370    3.778400    0.060400
 75.520    3.705900    0.059800
 69.510    3.436800    0.057100
 63.260    3.182700    0.057200
 56.630    3.010200    0.056800
 49.460    2.663900    0.060100
 41.410    2.394900    0.071200
 31.790    2.294200    0.132600
-------------------------------------
E =  543.530 MeV, Wt = 1.0, Sc = 1.0
161.810    0.357000    0.032200
148.210    0.896200    0.033500
138.590    1.522500    0.043400
130.540    2.081400    0.049200
123.370    2.511400    0.047900
116.740    3.056600    0.053200
110.490    3.311800    0.056000
104.480    3.533300    0.058600
 98.630    3.776300    0.062900
 92.870    3.925400    0.062700
 87.130    3.869500    0.060700
 81.370    3.682500    0.062400
 75.520    3.638700    0.060800
 69.510    3.401800    0.058700
 63.260    3.159600    0.058900
 56.630    2.795500    0.058700
 49.460    2.567600    0.065300
 41.410    2.428800    0.076600
 31.790    2.221900    0.147300
-------------------------------------
E =  545.700 MeV, Wt = 1.0, Sc = 1.0
161.810    0.315400    0.045200
148.210    0.895500    0.043700
138.590    1.480600    0.057300
130.540    2.048100    0.064500
123.370    2.562000    0.061600
116.740    2.929200    0.068000
110.490    3.244300    0.072000
104.480    3.492600    0.072400
 98.630    3.751200    0.077200
 92.870    3.912400    0.077300
 87.130    3.848700    0.077100
 81.370    3.732800    0.079400
 75.520    3.525700    0.077600
 69.510    3.443800    0.073700
 63.260    3.150400    0.074200
 56.630    2.757500    0.074800
 49.460    2.483000    0.078900
 41.410    2.189000    0.105400
 31.790    2.299500    0.163500
-------------------------------------
E =  547.890 MeV, Wt = 1.0, Sc = 1.0
161.810    0.410900    0.039200
148.210    0.933000    0.039800
138.590    1.515400    0.054000
130.540    1.908100    0.061300
123.370    2.494700    0.058200
116.740    2.929900    0.065800
110.490    3.201400    0.067100
104.480    3.408600    0.071400
 98.630    3.681600    0.074700
 92.870    3.827400    0.075500
 87.130    3.872300    0.074800
 81.370    3.551000    0.074700
 75.520    3.495300    0.072300
 69.510    3.226600    0.072100
 63.260    2.992900    0.074000
 56.630    2.845800    0.068100
 49.460    2.547400    0.072600
 41.410    2.291900    0.103300
 31.790    2.195900    0.178500
-------------------------------------
E =  550.020 MeV, Wt = 1.0, Sc = 1.0
161.810    0.334500    0.039000
148.210    0.931800    0.033400
138.590    1.493900    0.043900
130.540    1.975800    0.049400
123.370    2.426400    0.049200
116.740    2.931300    0.054600
110.490    3.194200    0.055500
104.480    3.531200    0.060300
 98.630    3.826100    0.064100
 92.870    3.770800    0.061500
 87.130    3.790500    0.061200
 81.370    3.643900    0.061500
 75.520    3.595900    0.060500
 69.510    3.321100    0.058800
 63.260    2.991000    0.059100
 56.630    2.920600    0.059100
 49.460    2.514700    0.064800
 41.410    2.275700    0.075800
 31.790    2.013700    0.150000
-------------------------------------
E =  552.210 MeV, Wt = 1.0, Sc = 1.0
161.810    0.373700    0.035800
148.210    0.886400    0.032900
138.590    1.533400    0.043000
130.540    1.910600    0.050400
123.370    2.495000    0.047000
116.740    3.009800    0.053100
110.490    3.201400    0.055600
104.480    3.443800    0.057300
 98.630    3.790500    0.060600
 92.870    3.817800    0.059900
 87.130    3.846400    0.059500
 81.370    3.635900    0.060500
 75.520    3.445900    0.059500
 69.510    3.311500    0.057900
 63.260    2.956600    0.057300
 56.630    2.696500    0.055700
 49.460    2.509300    0.058900
 41.410    2.369200    0.073700
 31.790    2.191700    0.149400
-------------------------------------
E =  554.350 MeV, Wt = 1.0, Sc = 1.0
161.810    0.400300    0.030500
148.210    0.859400    0.031300
138.590    1.558300    0.041100
130.540    2.029300    0.050500
123.370    2.419800    0.048600
116.740    2.773400    0.052700
110.490    3.220300    0.055000
104.480    3.392000    0.058000
 98.630    3.696700    0.060800
 92.870    3.668200    0.058800
 87.130    3.622600    0.058000
 81.370    3.607800    0.059600
 75.520    3.452700    0.059200
 69.510    3.163000    0.056400
 63.260    2.949400    0.055500
 56.630    2.671600    0.056600
 49.460    2.401500    0.058700
 41.410    2.304400    0.077100
 31.790    2.064600    0.139500
-------------------------------------
E =  556.500 MeV, Wt = 1.0, Sc = 1.0
161.810    0.354900    0.036500
148.210    0.882000    0.031900
138.590    1.404400    0.039600
130.540    1.938900    0.048600
123.370    2.354500    0.046000
116.740    2.780100    0.050700
110.490    3.120200    0.052900
104.480    3.329300    0.054900
 98.630    3.583400    0.057800
 92.870    3.589200    0.056500
 87.130    3.586600    0.057000
 81.370    3.422400    0.056400
 75.520    3.231000    0.058400
 69.510    3.054500    0.054700
 63.260    2.937400    0.054400
 56.630    2.611500    0.055300
 49.460    2.255400    0.056700
 41.410    2.113000    0.072700
 31.790    1.968300    0.130400
-------------------------------------
E =  558.650 MeV, Wt = 1.0, Sc = 1.0
161.810    0.332100    0.033300
148.210    0.877900    0.030600
138.590    1.491300    0.039400
130.540    1.913900    0.047300
123.370    2.444500    0.047100
116.740    2.808200    0.050900
110.490    3.138100    0.053600
104.480    3.351100    0.056000
 98.630    3.509400    0.057000
 92.870    3.538700    0.056600
 87.130    3.523300    0.056100
 81.370    3.373500    0.057600
 75.520    3.270600    0.055600
 69.510    2.964700    0.052900
 63.260    2.870800    0.053000
 56.630    2.697100    0.055400
 49.460    2.353500    0.057700
 41.410    2.104500    0.076700
 31.790    2.116600    0.141800
-------------------------------------
E =  560.740 MeV, Wt = 1.0, Sc = 1.0
161.810    0.367400    0.035000
148.210    0.906100    0.033000
138.590    1.360900    0.041300
130.540    1.877300    0.047100
123.370    2.433900    0.047600
116.740    2.847100    0.054300
110.490    3.152100    0.054100
104.480    3.332900    0.058900
 98.630    3.447400    0.058500
 92.870    3.563800    0.058400
 87.130    3.558200    0.058800
 81.370    3.435100    0.059300
 75.520    3.324100    0.058600
 69.510    3.090600    0.056600
 63.260    2.849500    0.054200
 56.630    2.576000    0.056100
 49.460    2.246500    0.057400
 41.410    2.118200    0.072600
 31.790    2.010000    0.149400
-------------------------------------
E =  562.930 MeV, Wt = 1.0, Sc = 1.0
161.810    0.351400    0.034100
148.210    0.933500    0.033500
138.590    1.402100    0.042300
130.540    1.899100    0.050100
123.370    2.306500    0.047200
116.740    2.824800    0.051500
110.490    3.052000    0.053700
104.480    3.286000    0.057000
 98.630    3.461700    0.059600
 92.870    3.483400    0.057800
 87.130    3.485300    0.058800
 81.370    3.345900    0.057700
 75.520    3.193200    0.057000
 69.510    3.021200    0.054100
 63.260    2.743700    0.054200
 56.630    2.529600    0.056300
 49.460    2.245900    0.057800
 41.410    2.063800    0.071200
 31.790    2.046800    0.149500
-------------------------------------
E =  565.050 MeV, Wt = 1.0, Sc = 1.0
161.810    0.373200    0.033700
148.210    0.876900    0.030500
138.590    1.436000    0.042100
130.540    1.887800    0.049000
123.370    2.368200    0.048500
116.740    2.864500    0.053100
110.490    3.019100    0.055400
104.480    3.230300    0.056900
 98.630    3.415900    0.058500
 92.870    3.410600    0.058600
 87.130    3.501300    0.059400
 81.370    3.353800    0.057700
 75.520    3.203100    0.057900
 69.510    3.013400    0.055700
 63.260    2.721600    0.054500
 56.630    2.383600    0.055000
 49.460    2.173500    0.057000
 41.410    1.976900    0.071400
 31.790    1.832200    0.151800
-------------------------------------
E =  567.180 MeV, Wt = 1.0, Sc = 1.0
161.810    0.377600    0.035100
148.210    0.906800    0.031400
138.590    1.414100    0.041200
130.540    1.792900    0.047300
123.370    2.254800    0.045800
116.740    2.609500    0.048900
110.490    2.866400    0.054000
104.480    3.067000    0.054900
 98.630    3.380100    0.056600
 92.870    3.520500    0.057500
 87.130    3.396400    0.055700
 81.370    3.334000    0.057900
 75.520    2.981000    0.054400
 69.510    2.775800    0.054900
 63.260    2.604500    0.052500
 56.630    2.468500    0.053200
 49.460    2.119300    0.056100
 41.410    1.938700    0.074700
 31.790    1.881700    0.135500
-------------------------------------
E =  569.290 MeV, Wt = 1.0, Sc = 1.0
161.810    0.331000    0.040200
148.210    0.840600    0.030300
138.590    1.397700    0.039400
130.540    1.834200    0.047300
123.370    2.308400    0.046700
116.740    2.577100    0.050900
110.490    2.983600    0.054000
104.480    3.131300    0.055000
 98.630    3.339600    0.060200
 92.870    3.346500    0.056700
 87.130    3.349500    0.057400
 81.370    3.206500    0.056500
 75.520    2.968300    0.055900
 69.510    2.817000    0.054300
 63.260    2.555100    0.052900
 56.630    2.304200    0.053900
 49.460    2.102400    0.057400
 41.410    1.830500    0.074900
 31.790    1.790900    0.148700
-------------------------------------
E =  571.400 MeV, Wt = 1.0, Sc = 1.0
161.810    0.420200    0.032100
148.210    0.879300    0.031100
138.590    1.345100    0.041100
130.540    1.797200    0.047400
123.370    2.325000    0.046500
116.740    2.673300    0.051500
110.490    2.938700    0.053500
104.480    3.338100    0.056400
 98.630    3.377000    0.058100
 92.870    3.362600    0.056600
 87.130    3.394600    0.056900
 81.370    3.240800    0.056000
 75.520    2.997600    0.056700
 69.510    2.862700    0.052800
 63.260    2.612900    0.053300
 56.630    2.367300    0.055500
 49.460    1.986600    0.057200
 41.410    1.957400    0.073800
 31.790    1.738600    0.141700
-------------------------------------
E =  573.530 MeV, Wt = 1.0, Sc = 1.0
161.810    0.398200    0.034400
148.210    0.842800    0.030400
138.590    1.274500    0.040100
130.540    1.715400    0.048000
123.370    2.239100    0.046200
116.740    2.693900    0.050900
110.490    2.811200    0.052600
104.480    3.068900    0.054600
 98.630    3.204900    0.056900
 92.870    3.220000    0.055300
 87.130    3.270400    0.056900
 81.370    3.189900    0.056900
 75.520    3.003600    0.056500
 69.510    2.690900    0.053100
 63.260    2.566700    0.054500
 56.630    2.292500    0.052300
 49.460    2.014700    0.054200
 41.410    1.884000    0.069000
 31.790    1.713400    0.157200
-------------------------------------
E =  575.620 MeV, Wt = 1.0, Sc = 1.0
161.810    0.320900    0.039400
148.210    0.865400    0.032100
138.590    1.269000    0.040300
130.540    1.765800    0.048100
123.370    2.322700    0.048600
116.740    2.647600    0.052900
110.490    2.918300    0.055600
104.480    3.069300    0.058100
 98.630    3.268900    0.059100
 92.870    3.320400    0.058900
 87.130    3.258400    0.059700
 81.370    3.122900    0.057400
 75.520    2.907500    0.059400
 69.510    2.709400    0.055300
 63.260    2.458000    0.055100
 56.630    2.283400    0.054900
 49.460    2.041400    0.056500
 41.410    1.974400    0.073500
 31.790    1.706000    0.153800
-------------------------------------
E =  577.710 MeV, Wt = 1.0, Sc = 1.0
161.810    0.345300    0.037900
148.210    0.836400    0.032000
138.590    1.291600    0.039400
130.540    1.739700    0.047200
123.370    2.325700    0.046800
116.740    2.642800    0.051100
110.490    2.888000    0.054100
104.480    3.243200    0.055800
 98.630    3.210800    0.055800
 92.870    3.202900    0.056900
 87.130    3.285500    0.055400
 81.370    3.147300    0.055900
 75.520    2.909800    0.054400
 69.510    2.761500    0.053300
 63.260    2.480200    0.051500
 56.630    2.336300    0.051500
 49.460    1.957100    0.055200
 41.410    1.759600    0.071800
 31.790    1.782300    0.139100
-------------------------------------
E =  579.820 MeV, Wt = 1.0, Sc = 1.0
161.810    0.384400    0.034200
148.210    0.849400    0.031600
138.590    1.258400    0.039800
130.540    1.761100    0.046500
123.370    2.288800    0.047400
116.740    2.592400    0.051000
110.490    2.880700    0.053100
104.480    3.229200    0.057900
 98.630    3.109500    0.057500
 92.870    3.200400    0.056500
 87.130    3.121900    0.055600
 81.370    3.057400    0.055400
 75.520    2.916200    0.054100
 69.510    2.666800    0.051100
 63.260    2.491100    0.051800
 56.630    2.207700    0.050200
 49.460    1.876000    0.053500
 41.410    1.844900    0.072500
 31.790    1.751600    0.135200
-------------------------------------
E =  581.870 MeV, Wt = 1.0, Sc = 1.0
161.810    0.409800    0.035300
148.210    0.834400    0.032500
138.590    1.332600    0.038700
130.540    1.739800    0.048300
123.370    2.184600    0.046000
116.740    2.539900    0.049100
110.490    2.842400    0.053800
104.480    3.057700    0.054400
 98.630    3.138100    0.056200
 92.870    3.143900    0.056100
 87.130    3.306300    0.057200
 81.370    3.020500    0.056800
 75.520    2.879100    0.055100
 69.510    2.603900    0.052000
 63.260    2.428000    0.051300
 56.630    2.182100    0.051000
 49.460    1.903300    0.052100
 41.410    1.799800    0.071300
 31.790    1.629300    0.135700
-------------------------------------
E =  583.990 MeV, Wt = 1.0, Sc = 1.0
161.810    0.409100    0.035400
148.210    0.865600    0.030600
138.590    1.308400    0.039000
130.540    1.730200    0.047800
123.370    2.258300    0.046500
116.740    2.677100    0.049400
110.490    2.811600    0.051500
104.480    3.023800    0.054000
 98.630    3.182200    0.055700
 92.870    3.163900    0.054400
 87.130    3.062700    0.053000
 81.370    3.011600    0.055200
 75.520    2.867600    0.052800
 69.510    2.578400    0.049100
 63.260    2.440500    0.051800
 56.630    2.129700    0.050000
 49.460    1.828500    0.052400
 41.410    1.707600    0.072400
 31.790    1.579600    0.173600
-------------------------------------
E =  586.060 MeV, Wt = 1.0, Sc = 1.0
161.810    0.369000    0.035700
148.210    0.912200    0.031400
138.590    1.351600    0.040600
130.540    1.629400    0.048100
123.370    2.210100    0.046500
116.740    2.636000    0.051100
110.490    2.745900    0.053200
104.480    3.032000    0.053400
 98.630    3.119900    0.056600
 92.870    3.296000    0.054600
 87.130    3.160100    0.054400
 81.370    3.095900    0.056200
 75.520    2.779400    0.052900
 69.510    2.658900    0.050300
 63.260    2.397000    0.050600
 56.630    2.157300    0.050600
 49.460    1.850300    0.052500
 41.410    1.624800    0.071100
 31.790    1.538500    0.148500
-------------------------------------
E =  588.130 MeV, Wt = 1.0, Sc = 1.0
161.810    0.400200    0.034000
148.210    0.898400    0.030400
138.590    1.295500    0.040100
130.540    1.684000    0.044800
123.370    2.189200    0.044600
116.740    2.600200    0.048100
110.490    2.781500    0.050700
104.480    2.965500    0.053700
 98.630    3.120400    0.055900
 92.870    3.143900    0.054500
 87.130    3.077900    0.053000
 81.370    2.963600    0.054800
 75.520    2.788800    0.052700
 69.510    2.645300    0.050900
 63.260    2.308100    0.052200
 56.630    2.148900    0.048900
 49.460    1.765600    0.052000
 41.410    1.596200    0.069800
 31.790    1.537600    0.147700
-------------------------------------
E =  590.190 MeV, Wt = 1.0, Sc = 1.0
161.810    0.452100    0.036300
148.210    0.839500    0.034200
138.590    1.274100    0.040500
130.540    1.711200    0.050000
123.370    2.125200    0.048100
116.740    2.557200    0.052900
110.490    2.770500    0.054100
104.480    2.889700    0.056600
 98.630    3.101300    0.059300
 92.870    3.080500    0.057800
 87.130    3.098600    0.058800
 81.370    2.971700    0.057600
 75.520    2.709500    0.056700
 69.510    2.599800    0.055100
 63.260    2.391600    0.054200
 56.630    2.017700    0.052900
 49.460    1.839300    0.055200
 41.410    1.580700    0.069000
 31.790    1.638500    0.145800
-------------------------------------
E =  592.260 MeV, Wt = 1.0, Sc = 1.0
161.810    0.407100    0.040800
148.210    0.825400    0.034800
138.590    1.346400    0.043500
130.540    1.612900    0.049200
123.370    2.110100    0.047700
116.740    2.503000    0.051500
110.490    2.610400    0.054200
104.480    2.962000    0.056000
 98.630    3.030200    0.059200
 92.870    3.101200    0.059400
 87.130    3.037200    0.058500
 81.370    2.815700    0.058200
 75.520    2.703100    0.055900
 69.510    2.391400    0.054500
 63.260    2.237700    0.053000
 56.630    1.806100    0.053200
 49.460    1.706300    0.055600
 41.410    1.572500    0.073000
 31.790    1.539300    0.131000
-------------------------------------
E =  594.310 MeV, Wt = 1.0, Sc = 1.0
161.810    0.453700    0.034100
148.210    0.786100    0.032800
138.590    1.295800    0.043800
130.540    1.584900    0.048400
123.370    2.057400    0.049300
116.740    2.529100    0.054100
110.490    2.612100    0.055000
104.480    2.778300    0.057900
 98.630    2.921900    0.061000
 92.870    3.050200    0.058400
 87.130    2.957500    0.059200
 81.370    2.767200    0.058500
 75.520    2.635500    0.055100
 69.510    2.452700    0.054300
 63.260    2.327000    0.053600
 56.630    1.960600    0.053900
 49.460    1.668100    0.055800
 41.410    1.506600    0.071200
 31.790    1.440300    0.155500
-------------------------------------
E =  596.360 MeV, Wt = 1.0, Sc = 1.0
161.810    0.401100    0.032100
148.210    0.790800    0.031000
138.590    1.332700    0.040500
